time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1713398610999893200,118.6218933,4.373671832,0.6108646788,24.0074473,29.6435275,180.5164032,4.728414459,3.386241831,-82.34344854,1.278077038
1713398611999892200,119.6218923,4.507308377,1.147707052,48.01762757,29.64351992,180.5164032,4.734881524,3.377193212,-82.34344532,1.072045053
1713398612999891700,120.6218916,3.868967968,1.184341922,61.41573092,29.64351559,180.5164032,4.736325243,3.375168177,-82.34344682,0.8156366345
1713398613999891200,121.6218911,3.934595359,0.8928747758,41.63877362,29.64350449,180.5164032,4.730245927,3.383682979,-82.3434442,0.9817062056
1713398614999891700,122.6218916,3.689373698,1.027495425,39.4339121,29.64349277,180.5164032,4.731770058,3.381551294,-82.343446,1.146285406
1.7134E+18,123.6218899,3.340284307,1.06618715,45.51863725,29.64348335,180.5164032,4.732733446,3.380202829,-82.34344286,1.002319451
1713398616999890400,124.6218904,3.135794284,1.17237871,43.85108628,29.64347356,180.5164032,4.73362337,3.37895647,-82.34344343,1.157815018
1713398617999889400,125.6218894,3.012512508,1.175036971,45.23139446,29.64346433,180.5164032,4.735732064,3.376000422,-82.34344432,1.127413954
1713398618999888600,126.6218887,2.590780167,0.9507703925,44.11913261,29.64345613,180.5164032,4.73130391,3.382203475,-82.34344512,0.9341071725
1713398619999888400,127.6218884,2.663463471,1.171641709,50.02020903,29.64344486,180.5164032,4.735253738,3.3766713,-82.34344507,1.025170348
1713398620999887400,128.6218875,2.491481173,1.175251364,44.01804626,29.64343234,180.5164032,4.735126663,3.376849497,-82.34344221,1.163765684
1713398621999887400,129.6218875,2.399799863,1.176906852,50.08794224,29.6434236,180.5164032,4.733456165,3.379190697,-82.34344203,1.025972057
1713398622999887400,130.6218875,2.115023153,1.066460875,40.48228294,29.64341121,180.5164032,4.730395712,3.383473576,-82.34344216,1.161393622
1713398623999886000,131.621886,1.751728004,0.863323158,34.87419616,29.64340177,180.5164032,4.727379894,3.38768599,-82.34344226,1.092533659
